user,point_id,satellites_used,observation_count,avg_observation_gap_h,max_observation_gap_h,observation_times_utc,observation_times_sat_utc
User1,2025-01-01|0520|-30.69596|120.583|8,Landsat-8;SENTINEL-1A;SKYSAT-C13,3,155.3625,187.83333333333334,2025-01-01 01:49:00Z | 2025-01-08 21:39:00Z | 2025-01-14 00:32:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-14 00:32:30Z@SKYSAT-C13
User1,2025-01-01|0520|-30.69916|120.59188|13,Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C13,6,62.144999999999996,92.23333333333333,2025-01-01 01:49:00Z | 2025-01-03 22:34:00Z | 2025-01-05 01:25:00Z | 2025-01-08 21:39:00Z | 2025-01-12 01:32:00Z | 2025-01-14 00:32:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-03 22:34:00Z@Global-18 | 2025-01-05 01:25:00Z@Landsat-8 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-12 01:32:00Z@Landsat-8 | 2025-01-14 00:32:30Z@SKYSAT-C13
User1,2025-01-01|0520|-30.6996|120.58772|12,FLOCK 4Q-34;Landsat-8;SENTINEL-1A;SKYSAT-C13,4,103.57499999999999,122.89166666666667,2025-01-01 01:49:00Z | 2025-01-05 01:56:00Z | 2025-01-08 21:39:00Z | 2025-01-14 00:32:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-05 01:56:00Z@FLOCK 4Q-34 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-14 00:32:30Z@SKYSAT-C13
User1,2025-01-01|0520|-30.70004|120.58353|11,Landsat-8;SENTINEL-1A;SKYSAT-C13,3,155.3625,187.83333333333334,2025-01-01 01:49:00Z | 2025-01-08 21:39:00Z | 2025-01-14 00:32:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-14 00:32:30Z@SKYSAT-C13
User1,2025-01-01|0520|-30.70414|120.58405|14,Landsat-8;SENTINEL-1A;SKYSAT-C13,3,155.3625,187.83333333333334,2025-01-01 01:49:00Z | 2025-01-08 21:39:00Z | 2025-01-14 00:32:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-14 00:32:30Z@SKYSAT-C13
User1,2025-01-01|0520|-30.70458|120.57986|15,Landsat-8;SENTINEL-1A;SKYSAT-C13,3,155.3625,187.83333333333334,2025-01-01 01:49:00Z | 2025-01-08 21:39:00Z | 2025-01-14 00:32:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-14 00:32:30Z@SKYSAT-C13
User1,2025-01-01|0520|-32.06363|115.91576|0,Global-17;Global-18;Global-19;Landsat-8,10,32.242592592592594,126.975,2025-01-03 00:59:00Z | 2025-01-04 02:20:00Z | 2025-01-04 15:20:30Z | 2025-01-09 22:19:00Z | 2025-01-10 15:06:30Z | 2025-01-10 21:42:00Z | 2025-01-11 16:08:00Z | 2025-01-12 23:27:30Z | 2025-01-13 19:50:30Z | 2025-01-15 03:10:00Z,2025-01-03 00:59:00Z@Global-17 | 2025-01-04 02:20:00Z@Landsat-8 | 2025-01-04 15:20:30Z@Global-18 | 2025-01-09 22:19:00Z@Global-17 | 2025-01-10 15:06:30Z@Global-17 | 2025-01-10 21:42:00Z@Global-17 | 2025-01-11 16:08:00Z@Global-17 | 2025-01-12 23:27:30Z@Global-19 | 2025-01-13 19:50:30Z@Global-17 | 2025-01-15 03:10:00Z@Global-19
User1,2025-01-01|0520|-32.06417|115.90752|1,FLOCK 4Q-34;Global-17;Global-18;Global-19;ICEYE-X13;SKYSAT-C11;TERRA SAR X,23,14.42878787878788,26.475,2025-01-01 02:12:00Z | 2025-01-01 11:45:30Z | 2025-01-02 01:35:30Z | 2025-01-03 00:46:00Z | 2025-01-03 10:32:30Z | 2025-01-04 00:10:00Z | 2025-01-04 07:54:30Z | 2025-01-05 04:22:30Z | 2025-01-05 09:19:30Z | 2025-01-06 03:03:00Z | 2025-01-06 22:34:00Z | 2025-01-07 16:57:30Z | 2025-01-07 23:33:00Z | 2025-01-08 06:20:00Z | 2025-01-08 22:56:00Z | 2025-01-09 22:11:30Z | 2025-01-10 07:54:00Z | 2025-01-10 21:35:30Z | 2025-01-11 12:45:30Z | 2025-01-11 20:59:00Z | 2025-01-12 23:27:30Z | 2025-01-13 19:50:30Z | 2025-01-14 07:38:00Z,2025-01-01 02:12:00Z@Global-17 | 2025-01-01 11:45:30Z@Global-19 | 2025-01-02 01:35:30Z@Global-17 | 2025-01-03 00:46:00Z@Global-18 | 2025-01-03 10:32:30Z@Global-19 | 2025-01-04 00:10:00Z@Global-18 | 2025-01-04 07:54:30Z@ICEYE-X13 | 2025-01-05 04:22:30Z@Global-19 | 2025-01-05 09:19:30Z@Global-19 | 2025-01-06 03:03:00Z@FLOCK 4Q-34 | 2025-01-06 22:34:00Z@TERRA SAR X | 2025-01-07 16:57:30Z@Global-17 | 2025-01-07 23:33:00Z@Global-17 | 2025-01-08 06:20:00Z@SKYSAT-C11 | 2025-01-08 22:56:00Z@Global-17 | 2025-01-09 22:11:30Z@Global-18 | 2025-01-10 07:54:00Z@Global-19 | 2025-01-10 21:35:30Z@Global-18 | 2025-01-11 12:45:30Z@Global-18 | 2025-01-11 20:59:00Z@Global-18 | 2025-01-12 23:27:30Z@Global-19 | 2025-01-13 19:50:30Z@Global-17 | 2025-01-14 07:38:00Z@ICEYE-X13
User1,2025-01-01|0520|-32.06965|115.908|2,FLOCK 4Q-34;Global-17;Global-18;Global-19,24,14.977173913043474,28.025,2025-01-01 05:10:00Z | 2025-01-01 17:08:00Z | 2025-01-02 04:33:30Z | 2025-01-02 16:32:30Z | 2025-01-03 02:49:00Z | 2025-01-03 15:56:30Z | 2025-01-03 19:25:00Z | 2025-01-04 09:56:00Z | 2025-01-04 23:45:30Z | 2025-01-06 03:45:30Z | 2025-01-06 17:34:30Z | 2025-01-07 03:09:00Z | 2025-01-07 15:40:00Z | 2025-01-08 02:32:30Z | 2025-01-09 01:55:30Z | 2025-01-09 13:58:00Z | 2025-01-10 01:18:30Z | 2025-01-11 00:41:30Z | 2025-01-11 15:26:30Z | 2025-01-12 00:04:30Z | 2025-01-12 23:27:30Z | 2025-01-13 19:50:30Z | 2025-01-14 23:52:00Z | 2025-01-15 13:38:30Z,2025-01-01 05:10:00Z@Global-19 | 2025-01-01 17:08:00Z@Global-18 | 2025-01-02 04:33:30Z@Global-19 | 2025-01-02 16:32:30Z@Global-18 | 2025-01-03 02:49:00Z@FLOCK 4Q-34 | 2025-01-03 15:56:30Z@Global-18 | 2025-01-03 19:25:00Z@Global-17 | 2025-01-04 09:56:00Z@Global-19 | 2025-01-04 23:45:30Z@Global-17 | 2025-01-06 03:45:30Z@Global-19 | 2025-01-06 17:34:30Z@Global-17 | 2025-01-07 03:09:00Z@Global-19 | 2025-01-07 15:40:00Z@FLOCK 4Q-34 | 2025-01-08 02:32:30Z@Global-19 | 2025-01-09 01:55:30Z@Global-19 | 2025-01-09 13:58:00Z@Global-18 | 2025-01-10 01:18:30Z@Global-19 | 2025-01-11 00:41:30Z@Global-19 | 2025-01-11 15:26:30Z@FLOCK 4Q-34 | 2025-01-12 00:04:30Z@Global-19 | 2025-01-12 23:27:30Z@Global-19 | 2025-01-13 19:50:30Z@Global-17 | 2025-01-14 23:52:00Z@Global-19 | 2025-01-15 13:38:30Z@Global-17
User1,2025-01-01|0658|-31.5803|117.06229|4,Landsat-8;SKYSAT-C13,2,25.1,25.1,2025-01-09 00:38:00Z | 2025-01-10 01:44:00Z,2025-01-09 00:38:00Z@SKYSAT-C13 | 2025-01-10 01:44:00Z@Landsat-8
